date,description,amount
2026-01-01,SALARY CREDIT,"INR 105,000 CR"
2026-01-02,"ZOMATO PAYMENT, WEEKEND DINNER","INR 1,450 DR"
2026-01-03,UBER TRIP AIRPORT,"INR 980 DR"
2026-01-04,NETFLIX SUBSCRIPTION,"INR 649 DR"
2026-01-05,RENT TO LANDLORD,"INR 28,000 DR"
2026-01-06,AMAZON MARKETPLACE,"(INR 3,200)"
2026-01-07,AIRTEL BROADBAND BILL,"INR 1,199 DR"
2026-01-08,OPENAI API,"INR 1,850 DR"
2026-01-09,GROWW SIP,"INR 8,000 DR"
2026-01-10,INTEREST CREDIT,"INR 950 CR"
2026-01-11,UPI TRANSFER TO RAHUL,"INR 2,000 DR"
2026-01-12,ELECTRICITY BILL,"INR 2,400 DR"
